0.0	2.373512
1.0	2.593729
2.0	2.818340
3.0	3.044502
4.0	3.268855
5.0	3.500703
6.0	3.725056
7.0	3.950701
8.0	4.175312
9.0	4.399923
10.0	4.606958
11.0	4.810634
12.0	5.009139
13.0	5.198081
14.0	5.381854
15.0	5.555030
16.0	5.708045
17.0	5.857182
18.0	5.995722
19.0	6.122114
20.0	6.228863
21.0	6.322688
22.0	6.391699
23.0	6.466398
24.0	6.506461
25.0	6.539287
26.0	6.548333
27.0	6.546265
28.0	6.533342
29.0	6.491728
30.0	6.433830
31.0	6.380327
32.0	6.282367
33.0	6.194745
34.0	6.085670
35.0	5.957210
36.0	5.823839
37.0	5.657384
38.0	5.499717
39.0	5.325766
40.0	5.137340
41.0	4.938576
42.0	4.738779
43.0	4.516493
44.0	4.298862
45.0	4.080454
46.0	3.859461
47.0	3.624511
48.0	3.398349
49.0	3.163916
50.0	2.944474
51.0	2.717278
52.0	2.490599
53.0	2.270382
54.0	2.056885
55.0	1.847524
56.0	1.649018
57.0	1.455424
58.0	1.276562
59.0	1.098217
60.0	0.928232
61.0	0.782783
62.0	0.644883
63.0	0.519308
64.0	0.405875
65.0	0.306219
66.0	0.220366
67.0	0.149665
68.0	0.093468
69.0	0.050892
70.0	0.023571
71.0	0.014283
72.0	0.018642
73.0	0.038516
74.0	0.073205
75.0	0.122475
76.0	0.188324
77.0	0.265849
78.0	0.363377
79.0	0.471257
80.0	0.593382
81.0	0.727312
82.0	0.873202
83.0	1.030664
84.0	1.200571
85.0	1.379175
86.0	1.564757
87.0	1.759644
88.0	1.959959
89.0	2.174748
90.0	2.387728
91.0	2.609754
92.0	2.834882
93.0	3.061044
94.0	3.293410
